freq_Hz,anechoic_dB,inroom_dB,level_corr_dB,post_dsp_dB,room_gain_dB,room_hf_abs_dB,room_tf_dB,harman_target_dB,dsp_correction_dB,dsp_correction_smoothed_dB,woofer_dB,mid_dB,tweeter_dB
61.36,-4.4173,4.5827,4.5827,2.5469,9.0000,-0.0000,9.0000,2.5426,-2.0401,-2.0358,-4.4726,-48.3664,-159.3406
61.58,-4.4067,4.5933,4.5933,2.5419,9.0000,-0.0000,9.0000,2.5378,-2.0555,-2.0514,-4.4628,-48.2364,-159.2189
61.79,-4.3962,4.6038,4.6038,2.5369,9.0000,-0.0000,9.0000,2.5329,-2.0709,-2.0669,-4.4531,-48.1064,-159.0972
62.01,-4.3858,4.6142,4.6142,2.5319,9.0000,-0.0000,9.0000,2.5279,-2.0862,-2.0823,-4.4435,-47.9763,-158.9755
62.23,-4.3755,4.6245,4.6245,2.5269,9.0000,-0.0000,9.0000,2.5230,-2.1014,-2.0976,-4.4340,-47.8462,-158.8538
62.45,-4.3653,4.6347,4.6347,2.5219,9.0000,-0.0000,9.0000,2.5181,-2.1166,-2.1128,-4.4246,-47.7160,-158.7321
62.66,-4.3552,4.6448,4.6448,2.5169,9.0000,-0.0000,9.0000,2.5131,-2.1317,-2.1280,-4.4153,-47.5859,-158.6103
62.88,-4.3451,4.6549,4.6549,2.5119,9.0000,-0.0000,9.0000,2.5081,-2.1467,-2.1430,-4.4060,-47.4556,-158.4886
63.11,-4.3351,4.6649,4.6649,2.5069,9.0000,-0.0000,9.0000,2.5032,-2.1617,-2.1580,-4.3969,-47.3254,-158.3669
63.33,-4.3252,4.6748,4.6748,2.5019,9.0000,-0.0000,9.0000,2.4982,-2.1766,-2.1728,-4.3879,-47.1951,-158.2452
63.55,-4.3155,4.6845,4.6845,2.4969,9.0000,-0.0000,9.0000,2.4931,-2.1914,-2.1876,-4.3789,-47.0714,-158.1235
63.77,-4.3060,4.6940,4.6940,2.4917,9.0000,-0.0000,9.0000,2.4881,-2.2059,-2.2023,-4.3701,-46.9709,-158.0018
64.00,-4.2965,4.7035,4.7035,2.4865,9.0000,-0.0000,9.0000,2.4831,-2.2204,-2.2170,-4.3613,-46.8705,-157.8801
64.22,-4.2871,4.7129,4.7129,2.4813,9.0000,-0.0000,9.0000,2.4780,-2.2349,-2.2316,-4.3527,-46.7702,-157.7583
64.45,-4.2779,4.7221,4.7221,2.4765,9.0000,-0.0000,9.0000,2.4729,-2.2492,-2.2456,-4.3441,-46.6700,-157.6366
64.67,-4.2686,4.7314,4.7314,2.4726,9.0000,-0.0000,9.0000,2.4678,-2.2635,-2.2587,-4.3355,-46.5698,-157.5149
