freq_Hz,woofer_mag_dB,woofer_phase_deg,mid_mag_dB,mid_phase_deg,tweeter_mag_dB,tweeter_phase_deg,sum_mag_dB,sum_phase_deg
28.337,-0.0111,-30.9712,-57.9097,145.3544,-131.5642,176.3256,-0.0221,-30.9665
28.508,-0.0113,-31.1619,-57.7015,145.1416,-131.3557,176.3034,-0.0226,-31.1570
28.679,-0.0116,-31.3537,-57.4933,144.9275,-131.1472,176.2812,-0.0232,-31.3488
28.852,-0.0119,-31.5468,-57.2851,144.7120,-130.9387,176.2588,-0.0238,-31.5417
29.026,-0.0122,-31.7412,-57.0768,144.4951,-130.7302,176.2363,-0.0243,-31.7359
29.200,-0.0125,-31.9368,-56.8686,144.2769,-130.5217,176.2136,-0.0249,-31.9313
29.376,-0.0128,-32.1336,-56.6604,144.0572,-130.3132,176.1908,-0.0255,-32.1280
29.553,-0.0131,-32.3317,-56.4522,143.8362,-130.1047,176.1679,-0.0261,-32.3259
29.731,-0.0134,-32.5311,-56.2441,143.6137,-129.8962,176.1448,-0.0268,-32.5252
29.910,-0.0137,-32.7318,-56.0359,143.3898,-129.6877,176.1216,-0.0274,-32.7256
30.090,-0.0141,-32.9337,-55.8277,143.1645,-129.4792,176.0982,-0.0281,-32.9274
30.271,-0.0144,-33.1370,-55.6195,142.9377,-129.2707,176.0747,-0.0288,-33.1305
30.453,-0.0147,-33.3416,-55.4114,142.7095,-129.0621,176.0511,-0.0295,-33.3349
30.637,-0.0151,-33.5475,-55.2032,142.4798,-128.8536,176.0273,-0.0302,-33.5406
30.821,-0.0155,-33.7547,-54.9951,142.2487,-128.6451,176.0034,-0.0309,-33.7476
31.006,-0.0158,-33.9633,-54.7870,142.0161,-128.4366,175.9793,-0.0317,-33.9559
31.193,-0.0162,-34.1732,-54.5789,141.7819,-128.2281,175.9551,-0.0324,-34.1656
31.381,-0.0166,-34.3845,-54.3708,141.5463,-128.0196,175.9308,-0.0332,-34.3767
31.570,-0.0170,-34.5971,-54.1627,141.3092,-127.8111,175.9063,-0.0340,-34.5891
31.760,-0.0174,-34.8111,-53.9546,141.0705,-127.6026,175.8816,-0.0349,-34.8029
