freq_Hz,woofer_dB,mid_dB,tweeter_dB,sum_dB
51.50,-5.1398,-58.8262,-165.4264,-5.1218
51.68,-5.1222,-58.5940,-165.3047,-5.1038
51.86,-5.1048,-58.3614,-165.1830,-5.0859
52.05,-5.0876,-58.1284,-165.0613,-5.0683
52.23,-5.0707,-57.8951,-164.9396,-5.0508
52.41,-5.0539,-57.6613,-164.8178,-5.0336
52.60,-5.0373,-57.4271,-164.6961,-5.0165
52.78,-5.0210,-57.1926,-164.5744,-4.9996
52.97,-5.0048,-56.9576,-164.4527,-4.9829
53.15,-4.9888,-56.7222,-164.3310,-4.9663
53.34,-4.9730,-56.4865,-164.2093,-4.9500
53.53,-4.9574,-56.2467,-164.0876,-4.9337
53.71,-4.9420,-56.0050,-163.9658,-4.9177
53.90,-4.9267,-55.7630,-163.8441,-4.9018
54.09,-4.9117,-55.5205,-163.7224,-4.8861
54.28,-4.8968,-55.2775,-163.6007,-4.8705
54.47,-4.8821,-55.0342,-163.4790,-4.8551
54.66,-4.8676,-54.7904,-163.3573,-4.8399
54.85,-4.8532,-54.5462,-163.2355,-4.8248
55.05,-4.8390,-54.3015,-163.1138,-4.8099
55.24,-4.8250,-54.0565,-162.9921,-4.7951
55.43,-4.8112,-53.8109,-162.8704,-4.7804
55.63,-4.7975,-53.5650,-162.7487,-4.7659
55.82,-4.7840,-53.3186,-162.6270,-4.7515
56.02,-4.7706,-53.0717,-162.5052,-4.7373
56.22,-4.7574,-52.8244,-162.3835,-4.7232
56.41,-4.7444,-52.5767,-162.2618,-4.7092
56.61,-4.7315,-52.3409,-162.1401,-4.6954
56.81,-4.7187,-52.1522,-162.0184,-4.6819
57.01,-4.7061,-51.9632,-161.8967,-4.6686
57.21,-4.6937,-51.7740,-161.7750,-4.6553
57.41,-4.6814,-51.5846,-161.6532,-4.6423
57.61,-4.6692,-51.3949,-161.5315,-4.6293
57.81,-4.6572,-51.2050,-161.4098,-4.6164
58.02,-4.6453,-51.0148,-161.2881,-4.6037
58.22,-4.6336,-50.8244,-161.1664,-4.5911
58.42,-4.6220,-50.6337,-161.0447,-4.5786
58.63,-4.6105,-50.4428,-160.9229,-4.5663
58.84,-4.5992,-50.2516,-160.8012,-4.5540
59.04,-4.5880,-50.0602,-160.6795,-4.5418
59.25,-4.5769,-49.8685,-160.5578,-4.5298
59.46,-4.5659,-49.6766,-160.4361,-4.5178
59.67,-4.5551,-49.4844,-160.3144,-4.5060
59.88,-4.5444,-49.2920,-160.1926,-4.4942
60.09,-4.5338,-49.1458,-160.0709,-4.4829
60.30,-4.5233,-49.0160,-159.9492,-4.4717
60.51,-4.5130,-48.8861,-159.8275,-4.4606
60.72,-4.5027,-48.7563,-159.7058,-4.4496
60.93,-4.4926,-48.6264,-159.5841,-4.4388
61.15,-4.4825,-48.4964,-159.4624,-4.4280
61.36,-4.4726,-48.3664,-159.3406,-4.4173
61.58,-4.4628,-48.2364,-159.2189,-4.4067
61.79,-4.4531,-48.1064,-159.0972,-4.3962
62.01,-4.4435,-47.9763,-158.9755,-4.3858
62.23,-4.4340,-47.8462,-158.8538,-4.3755
62.45,-4.4246,-47.7160,-158.7321,-4.3653
62.66,-4.4153,-47.5859,-158.6103,-4.3552
62.88,-4.4060,-47.4556,-158.4886,-4.3451
63.11,-4.3969,-47.3254,-158.3669,-4.3351
63.33,-4.3879,-47.1951,-158.2452,-4.3252
63.55,-4.3789,-47.0714,-158.1235,-4.3155
63.77,-4.3701,-46.9709,-158.0018,-4.3060
64.00,-4.3613,-46.8705,-157.8801,-4.2965
64.22,-4.3527,-46.7702,-157.7583,-4.2871
64.45,-4.3441,-46.6700,-157.6366,-4.2779
64.67,-4.3355,-46.5698,-157.5149,-4.2686
64.90,-4.3271,-46.4697,-157.3932,-4.2595
65.13,-4.3188,-46.3696,-157.2715,-4.2504
65.36,-4.3105,-46.2697,-157.1498,-4.2414
65.58,-4.3023,-46.1698,-157.0281,-4.2325
65.82,-4.2941,-46.0699,-156.9063,-4.2236
66.05,-4.2861,-45.9702,-156.7846,-4.2148
66.28,-4.2781,-45.8705,-156.6629,-4.2061
66.51,-4.2702,-45.7709,-156.5412,-4.1974
66.74,-4.2623,-45.6714,-156.4195,-4.1888
66.98,-4.2546,-45.5719,-156.2978,-4.1802
67.21,-4.2468,-45.4725,-156.1760,-4.1717
67.45,-4.2392,-45.3586,-156.0543,-4.1632
67.69,-4.2316,-45.2402,-155.9326,-4.1546
67.92,-4.2241,-45.1217,-155.8109,-4.1461
68.16,-4.2166,-45.0033,-155.6892,-4.1376
68.40,-4.2092,-44.8849,-155.5675,-4.1292
68.64,-4.2018,-44.7664,-155.4458,-4.1208
68.88,-4.1945,-44.6480,-155.3240,-4.1125
69.12,-4.1873,-44.5296,-155.2023,-4.1042
69.37,-4.1801,-44.4112,-155.0806,-4.0959
69.61,-4.1730,-44.2928,-154.9589,-4.0877
69.85,-4.1659,-44.1744,-154.8372,-4.0795
70.10,-4.1588,-44.0560,-154.7155,-4.0714
70.34,-4.1518,-43.9376,-154.5938,-4.0633
70.59,-4.1449,-43.8192,-154.4720,-4.0552
70.84,-4.1380,-43.7008,-154.3503,-4.0471
71.09,-4.1311,-43.5825,-154.2286,-4.0391
71.34,-4.1243,-43.4481,-154.1069,-4.0309
71.59,-4.1175,-43.2703,-153.9852,-4.0223
71.84,-4.1108,-43.0923,-153.8635,-4.0137
72.09,-4.1041,-42.9142,-153.7418,-4.0051
72.34,-4.0975,-42.7358,-153.6200,-3.9964
72.60,-4.0908,-42.5572,-153.4983,-3.9878
72.85,-4.0843,-42.3784,-153.3766,-3.9792
73.11,-4.0777,-42.1995,-153.2549,-3.9705
73.37,-4.0712,-42.0203,-153.1332,-3.9619
73.62,-4.0647,-41.8409,-153.0115,-3.9532
73.88,-4.0583,-41.6613,-152.8898,-3.9446
74.14,-4.0519,-41.4814,-152.7680,-3.9359
74.40,-4.0455,-41.3014,-152.6463,-3.9271
74.66,-4.0391,-41.1212,-152.5246,-3.9184
74.92,-4.0328,-40.9407,-152.4029,-3.9097
75.19,-4.0265,-40.7601,-152.2812,-3.9009
75.45,-4.0202,-40.5792,-152.1595,-3.8921
75.72,-4.0140,-40.4097,-152.0378,-3.8834
75.98,-4.0077,-40.2433,-151.9160,-3.8748
76.25,-4.0015,-40.0769,-151.7943,-3.8661
76.52,-3.9953,-39.9102,-151.6726,-3.8574
76.78,-3.9892,-39.7434,-151.5509,-3.8487
77.05,-3.9830,-39.5764,-151.4292,-3.8400
77.32,-3.9769,-39.4093,-151.3075,-3.8312
77.60,-3.9708,-39.2420,-151.1858,-3.8224
77.87,-3.9647,-39.0745,-151.0640,-3.8136
78.14,-3.9587,-38.9068,-150.9423,-3.8047
78.41,-3.9526,-38.7390,-150.8206,-3.7958
78.69,-3.9466,-38.5711,-150.6989,-3.7868
78.97,-3.9406,-38.4029,-150.5772,-3.7778
79.24,-3.9346,-38.2346,-150.4555,-3.7688
79.52,-3.9286,-38.0661,-150.3338,-3.7597
79.80,-3.9226,-37.8975,-150.2121,-3.7505
80.08,-3.9167,-37.7345,-150.0903,-3.7415
80.36,-3.9107,-37.5857,-149.9686,-3.7327
80.64,-3.9048,-37.4368,-149.8469,-3.7238
80.93,-3.8989,-37.2878,-149.7252,-3.7149
81.21,-3.8930,-37.1387,-149.6035,-3.7059
81.50,-3.8870,-36.9895,-149.4818,-3.6970
81.78,-3.8811,-36.8402,-149.3601,-3.6879
82.07,-3.8753,-36.6908,-149.2384,-3.6789
82.36,-3.8694,-36.5413,-149.1166,-3.6697
82.65,-3.8635,-36.3917,-148.9949,-3.6606
82.94,-3.8576,-36.2420,-148.8732,-3.6514
83.23,-3.8518,-36.0922,-148.7515,-3.6421
83.52,-3.8459,-35.9423,-148.6298,-3.6328
83.81,-3.8400,-35.7923,-148.5081,-3.6234
84.11,-3.8342,-35.6422,-148.3864,-3.6139
84.40,-3.8283,-35.4920,-148.2647,-3.6044
84.70,-3.8225,-35.3416,-148.1429,-3.5949
84.99,-3.8166,-35.2063,-148.0212,-3.5857
85.29,-3.8108,-35.0749,-147.8995,-3.5765
85.59,-3.8050,-34.9435,-147.7778,-3.5673
85.89,-3.7991,-34.8120,-147.6561,-3.5581
86.19,-3.7933,-34.6805,-147.5344,-3.5488
86.50,-3.7875,-34.5490,-147.4127,-3.5394
86.80,-3.7816,-34.4174,-147.2910,-3.5300
87.10,-3.7758,-34.2858,-147.1692,-3.5206
87.41,-3.7699,-34.1541,-147.0475,-3.5110
87.72,-3.7641,-34.0224,-146.9258,-3.5015
88.03,-3.7583,-33.8907,-146.8041,-3.4919
88.33,-3.7524,-33.7589,-146.6824,-3.4822
88.64,-3.7466,-33.6271,-146.5607,-3.4725
88.96,-3.7407,-33.4953,-146.4390,-3.4627
89.27,-3.7349,-33.3634,-146.3173,-3.4528
89.58,-3.7290,-33.2315,-146.1955,-3.4429
89.89,-3.7232,-33.0996,-146.0738,-3.4329
90.21,-3.7173,-32.9680,-145.9521,-3.4229
90.53,-3.7114,-32.8363,-145.8304,-3.4128
90.84,-3.7056,-32.7046,-145.7087,-3.4027
91.16,-3.6997,-32.5728,-145.5870,-3.3925
91.48,-3.6938,-32.4410,-145.4653,-3.3822
91.80,-3.6879,-32.3092,-145.3436,-3.3718
92.13,-3.6820,-32.1773,-145.2219,-3.3614
92.45,-3.6761,-32.0454,-145.1002,-3.3509
92.77,-3.6702,-31.9135,-144.9784,-3.3403
93.10,-3.6643,-31.7815,-144.8567,-3.3297
93.43,-3.6584,-31.6495,-144.7350,-3.3190
93.75,-3.6525,-31.5175,-144.6133,-3.3082
94.08,-3.6466,-31.3854,-144.4916,-3.2974
94.41,-3.6407,-31.2532,-144.3699,-3.2864
94.75,-3.6347,-31.1211,-144.2482,-3.2754
95.08,-3.6288,-30.9889,-144.1265,-3.2643
95.41,-3.6228,-30.9002,-144.0048,-3.2549
95.75,-3.6169,-30.8216,-143.8831,-3.2460
96.08,-3.6109,-30.7431,-143.7613,-3.2370
96.42,-3.6050,-30.6649,-143.6396,-3.2279
96.76,-3.5990,-30.5867,-143.5179,-3.2189
97.10,-3.5930,-30.5088,-143.3962,-3.2098
97.44,-3.5870,-30.4309,-143.2745,-3.2007
97.78,-3.5810,-30.3533,-143.1528,-3.1916
98.12,-3.5750,-30.2758,-143.0311,-3.1825
98.47,-3.5690,-30.1984,-142.9094,-3.1733
98.81,-3.5630,-30.1213,-142.7877,-3.1641
99.16,-3.5570,-30.0442,-142.6660,-3.1549
99.51,-3.5510,-29.9674,-142.5443,-3.1456
99.86,-3.5450,-29.8907,-142.4225,-3.1364
100.21,-3.5389,-29.8141,-142.3008,-3.1271
100.56,-3.5329,-29.7378,-142.1791,-3.1178
100.91,-3.5268,-29.6158,-142.0574,-3.1063
101.27,-3.5208,-29.4070,-141.9357,-3.0906
101.62,-3.5147,-29.1978,-121.8091,-3.0746
101.98,-3.5087,-28.9884,-121.6064,-3.0583
102.34,-3.5026,-28.7787,-121.4035,-3.0419
102.70,-3.4965,-28.5687,-121.2003,-3.0252
103.06,-3.4905,-28.3583,-120.9968,-3.0082
103.42,-3.4844,-28.1477,-120.7930,-2.9909
103.78,-3.4783,-27.9368,-120.5889,-2.9734
104.14,-3.4722,-27.7255,-120.3845,-2.9556
104.51,-3.4662,-27.5140,-120.1799,-2.9375
104.88,-3.4601,-27.3022,-119.9749,-2.9192
105.24,-3.4540,-27.0900,-119.7697,-2.9005
105.61,-3.4479,-26.8775,-119.5641,-2.8815
105.98,-3.4418,-26.6648,-119.3583,-2.8622
106.36,-3.4357,-26.4517,-119.1522,-2.8426
106.73,-3.4296,-26.2383,-118.9457,-2.8227
107.10,-3.4235,-26.0683,-118.7390,-2.8055
107.48,-3.4174,-25.9065,-118.5320,-2.7886
107.86,-3.4114,-25.7446,-118.3407,-2.7715
108.24,-3.4053,-25.5825,-118.1672,-2.7543
108.62,-3.3992,-25.4203,-117.9935,-2.7368
