freq_hz,step_horiz_dB,step_mean_dB,shelf_correction_dB,net_corrected_dB
96.4049,5.8124,4.8804,5.7273,10.6077
96.9619,5.7657,4.8344,5.7243,10.5587
97.5222,5.7190,4.7885,5.7213,10.5098
98.0857,5.6723,4.7426,5.7183,10.4609
98.6524,5.6256,4.6968,5.7152,10.4120
99.2224,5.5791,4.6510,5.7121,10.3631
99.7957,5.5325,4.6053,5.7089,10.3142
100.3723,5.4860,4.5596,5.7057,10.2653
100.9522,5.4395,4.5140,5.7025,10.2165
101.5355,5.3930,4.4684,5.6992,10.1676
102.1222,5.3466,4.4228,5.6960,10.1188
102.7122,5.3003,4.3773,5.6926,10.0700
103.3057,5.2539,4.3319,5.6893,10.0212
103.9026,5.2076,4.2865,5.6859,9.9724
104.5029,5.1614,4.2411,5.6825,9.9236
105.1067,5.1152,4.1958,5.6790,9.8748
105.7140,5.0690,4.1506,5.6755,9.8261
106.3248,5.0229,4.1054,5.6720,9.7774
106.9392,4.9768,4.0602,5.6684,9.7286
107.5570,4.9308,4.0151,5.6649,9.6799
108.1785,4.8848,3.9700,5.6612,9.6313
108.8035,4.8388,3.9250,5.6575,9.5826
109.4322,4.7929,3.8801,5.6538,9.5339
110.0645,4.7470,3.8352,5.6501,9.4853
110.7004,4.7012,3.7904,5.6463,9.4367
111.3400,4.6554,3.7456,5.6425,9.3881
111.9833,4.6097,3.7008,5.6386,9.3395
112.6304,4.5640,3.6562,5.6347,9.2909
113.2811,4.5183,3.6115,5.6308,9.2423
113.9357,4.4727,3.5670,5.6268,9.1938
114.5940,4.4272,3.5225,5.6228,9.1452
115.2561,4.3817,3.4780,5.6187,9.0967
115.9220,4.3362,3.4336,5.6146,9.0482
116.5918,4.2908,3.3893,5.6105,8.9998
117.2655,4.2455,3.3450,5.6063,8.9513
117.9430,4.2001,3.3008,5.6021,8.9029
118.6245,4.1549,3.2566,5.5978,8.8545
119.3099,4.1097,3.2125,5.5935,8.8060
119.9992,4.0645,3.1685,5.5892,8.7577
120.6926,4.0194,3.1245,5.5848,8.7093
121.3899,3.9743,3.0806,5.5804,8.6609
122.0913,3.9293,3.0367,5.5759,8.6126
122.7967,3.8844,2.9929,5.5714,8.5643
123.5062,3.8395,2.9492,5.5668,8.5160
124.2198,3.7946,2.9055,5.5622,8.4677
124.9376,3.7498,2.8619,5.5576,8.4195
125.6594,3.7051,2.8184,5.5529,8.3713
126.3855,3.6604,2.7749,5.5481,8.3230
127.1157,3.6158,2.7315,5.5434,8.2749
127.8502,3.5712,2.6882,5.5385,8.2267
128.5889,3.5267,2.6449,5.5336,8.1785
129.3319,3.4822,2.6017,5.5287,8.1304
130.0791,3.4378,2.5586,5.5237,8.0823
130.8307,3.3935,2.5155,5.5187,8.0342
131.5866,3.3492,2.4725,5.5137,7.9862
132.3469,3.3050,2.4296,5.5085,7.9381
133.1116,3.2608,2.3867,5.5034,7.8901
133.8807,3.2167,2.3439,5.4982,7.8421
134.6543,3.1727,2.3012,5.4929,7.7941
135.4323,3.1287,2.2586,5.4876,7.7462
136.2148,3.0848,2.2160,5.4822,7.6982
137.0018,3.0409,2.1735,5.4768,7.6503
137.7934,2.9971,2.1311,5.4714,7.6025
138.5896,2.9534,2.0887,5.4659,7.5546
139.3903,2.9097,2.0465,5.4603,7.5068
140.1957,2.8661,2.0043,5.4547,7.4590
141.0058,2.8225,1.9622,5.4490,7.4112
141.8205,2.7791,1.9201,5.4433,7.3634
142.6399,2.7357,1.8782,5.4375,7.3157
143.4641,2.6923,1.8363,5.4317,7.2680
144.2930,2.6490,1.7945,5.4258,7.2203
145.1267,2.6058,1.7527,5.4199,7.1726
145.9652,2.5627,1.7111,5.4139,7.1250
146.8086,2.5196,1.6695,5.4079,7.0774
147.6568,2.4766,1.6280,5.4018,7.0298
148.5100,2.4337,1.5866,5.3956,6.9823
149.3680,2.3908,1.5453,5.3894,6.9348
150.2311,2.3480,1.5041,5.3832,6.8873
151.0991,2.3053,1.4629,5.3769,6.8398
151.9721,2.2626,1.4219,5.3705,6.7924
152.8502,2.2201,1.3809,5.3641,6.7450
153.7334,2.1776,1.3400,5.3576,6.6976
154.6216,2.1351,1.2992,5.3510,6.6502
155.5150,2.0928,1.2585,5.3444,6.6029
156.4135,2.0505,1.2178,5.3378,6.5556
157.3173,2.0083,1.1773,5.3311,6.5083
158.2263,1.9662,1.1368,5.3243,6.4611
159.1405,1.9241,1.0965,5.3175,6.4139
160.0600,1.8822,1.0562,5.3106,6.3667
160.9848,1.8403,1.0160,5.3036,6.3196
161.9149,1.7985,0.9759,5.2966,6.2725
162.8504,1.7567,0.9359,5.2895,6.2254
163.7914,1.7151,0.8960,5.2824,6.1784
164.7378,1.6735,0.8562,5.2752,6.1314
165.6896,1.6320,0.8165,5.2680,6.0844
166.6469,1.5906,0.7768,5.2606,6.0375
167.6098,1.5493,0.7373,5.2533,5.9906
168.5782,1.5080,0.6979,5.2458,5.9437
169.5522,1.4669,0.6585,5.2383,5.8968
170.5319,1.4258,0.6193,5.2308,5.8500
171.5172,1.3848,0.5801,5.2231,5.8033
172.5082,1.3439,0.5411,5.2154,5.7565
173.5050,1.3031,0.5021,5.2077,5.7098
174.5075,1.2624,0.4633,5.1999,5.6632
175.5157,1.2217,0.4245,5.1920,5.6165
176.5299,1.1812,0.3859,5.1840,5.5699
177.5498,1.1407,0.3474,5.1760,5.5234
178.5757,1.1003,0.3089,5.1680,5.4769
179.6075,1.0600,0.2706,5.1598,5.4304
180.6452,1.0198,0.2323,5.1516,5.3840
181.6890,0.9797,0.1942,5.1433,5.3376
182.7388,0.9397,0.1562,5.1350,5.2912
183.7946,0.8998,0.1183,5.1266,5.2449
184.8565,0.8600,0.0804,5.1181,5.1986
185.9246,0.8202,0.0427,5.1096,5.1523
186.9989,0.7806,0.0051,5.1010,5.1061
188.0793,0.7411,-0.0324,5.0923,5.0600
189.1660,0.7016,-0.0697,5.0836,5.0139
190.2590,0.6623,-0.1070,5.0748,4.9678
191.3583,0.6230,-0.1442,5.0659,4.9217
192.4640,0.5839,-0.1812,5.0570,4.8758
193.5760,0.5448,-0.2182,5.0480,4.8298
194.6945,0.5059,-0.2550,5.0389,4.7839
195.8194,0.4670,-0.2917,5.0298,4.7380
196.9508,0.4282,-0.3283,5.0206,4.6922
198.0888,0.3896,-0.3648,5.0113,4.6465
199.2333,0.3510,-0.4012,5.0019,4.6007
200.3845,0.3126,-0.4375,4.9925,4.5550
201.5423,0.2742,-0.4736,4.9830,4.5094
202.7067,0.2360,-0.5096,4.9735,4.4638
203.8780,0.1978,-0.5456,4.9638,4.4183
205.0559,0.1598,-0.5814,4.9541,4.3728
206.2407,0.1219,-0.6170,4.9444,4.3273
207.4324,0.0841,-0.6526,4.9345,4.2819
208.6309,0.0463,-0.6880,4.9246,4.2366
209.8363,0.0087,-0.7234,4.9146,4.1913
211.0488,-0.0288,-0.7586,4.9046,4.1460
212.2682,-0.0662,-0.7937,4.8945,4.1008
213.4946,-0.1035,-0.8286,4.8843,4.0557
214.7282,-0.1406,-0.8635,4.8740,4.0106
215.9689,-0.1777,-0.8982,4.8637,3.9655
217.2167,-0.2146,-0.9328,4.8533,3.9205
218.4718,-0.2515,-0.9672,4.8428,3.8756
219.7341,-0.2882,-1.0016,4.8323,3.8307
221.0037,-0.3248,-1.0358,4.8217,3.7859
222.2806,-0.3613,-1.0699,4.8110,3.7411
223.5649,-0.3977,-1.1039,4.8002,3.6964
224.8566,-0.4340,-1.1377,4.7894,3.6517
226.1558,-0.4702,-1.1715,4.7785,3.6071
227.4625,-0.5062,-1.2050,4.7676,3.5625
228.7768,-0.5421,-1.2385,4.7565,3.5180
230.0986,-0.5779,-1.2719,4.7454,3.4736
231.4281,-0.6136,-1.3051,4.7342,3.4292
232.7653,-0.6492,-1.3381,4.7230,3.3848
234.1102,-0.6847,-1.3711,4.7117,3.3406
235.4629,-0.7200,-1.4039,4.7003,3.2963
236.8233,-0.7552,-1.4366,4.6888,3.2522
238.1917,-0.7903,-1.4692,4.6773,3.2081
239.5679,-0.8253,-1.5016,4.6657,3.1641
240.9521,-0.8601,-1.5339,4.6540,3.1201
242.3443,-0.8949,-1.5661,4.6422,3.0762
243.7446,-0.9295,-1.5981,4.6304,3.0323
245.1529,-0.9639,-1.6300,4.6185,2.9885
246.5693,-0.9983,-1.6618,4.6066,2.9448
247.9940,-1.0325,-1.6934,4.5946,2.9012
249.4269,-1.0667,-1.7249,4.5825,2.8576
250.8680,-1.1006,-1.7563,4.5703,2.8140
252.3175,-1.1345,-1.7875,4.5581,2.7706
253.7754,-1.1682,-1.8186,4.5457,2.7272
255.2417,-1.2018,-1.8495,4.5334,2.6838
256.7164,-1.2353,-1.8804,4.5209,2.6406
258.1997,-1.2687,-1.9110,4.5084,2.5974
259.6916,-1.3019,-1.9416,4.4958,2.5542
261.1920,-1.3350,-1.9720,4.4832,2.5112
262.7012,-1.3680,-2.0023,4.4705,2.4682
264.2190,-1.4008,-2.0324,4.4577,2.4253
265.7457,-1.4335,-2.0624,4.4448,2.3824
267.2811,-1.4661,-2.0923,4.4319,2.3397
268.8254,-1.4985,-2.1220,4.4189,2.2969
270.3787,-1.5308,-2.1516,4.4059,2.2543
271.9409,-1.5630,-2.1810,4.3927,2.2118
273.5121,-1.5950,-2.2103,4.3796,2.1693
275.0925,-1.6270,-2.2395,4.3663,2.1269
276.6819,-1.6587,-2.2685,4.3530,2.0845
278.2806,-1.6904,-2.2974,4.3396,2.0423
279.8884,-1.7219,-2.3261,4.3262,2.0001
281.5056,-1.7533,-2.3547,4.3126,1.9580
283.1321,-1.7845,-2.3832,4.2991,1.9159
284.7680,-1.8156,-2.4115,4.2854,1.8740
286.4134,-1.8466,-2.4396,4.2717,1.8321
288.0682,-1.8774,-2.4677,4.2580,1.7903
289.7327,-1.9081,-2.4956,4.2441,1.7486
291.4067,-1.9387,-2.5233,4.2302,1.7069
293.0904,-1.9691,-2.5509,4.2163,1.6654
294.7839,-1.9994,-2.5784,4.2023,1.6239
296.4871,-2.0295,-2.6057,4.1882,1.5825
298.2002,-2.0595,-2.6329,4.1741,1.5412
299.9231,-2.0894,-2.6599,4.1599,1.5000
301.6561,-2.1191,-2.6868,4.1456,1.4588
303.3990,-2.1487,-2.7135,4.1313,1.4178
305.1520,-2.1782,-2.7401,4.1169,1.3768
306.9151,-2.2075,-2.7666,4.1025,1.3359
308.6885,-2.2367,-2.7929,4.0880,1.2951
310.4720,-2.2657,-2.8191,4.0735,1.2544
312.2659,-2.2946,-2.8451,4.0589,1.2138
314.0701,-2.3234,-2.8710,4.0442,1.1732
315.8848,-2.3520,-2.8967,4.0295,1.1328
317.7100,-2.3804,-2.9223,4.0147,1.0924
319.5457,-2.4088,-2.9478,3.9999,1.0522
321.3920,-2.4369,-2.9731,3.9851,1.0120
323.2489,-2.4650,-2.9982,3.9701,0.9719
325.1166,-2.4929,-3.0233,3.9552,0.9319
326.9951,-2.5207,-3.0481,3.9401,0.8920
328.8845,-2.5483,-3.0729,3.9251,0.8522
330.7847,-2.5757,-3.0974,3.9099,0.8125
332.6959,-2.6031,-3.1219,3.8947,0.7729
334.6182,-2.6303,-3.1462,3.8795,0.7333
336.5516,-2.6573,-3.1703,3.8643,0.6939
338.4962,-2.6842,-3.1943,3.8489,0.6546
340.4520,-2.7110,-3.2182,3.8336,0.6154
342.4191,-2.7376,-3.2419,3.8182,0.5762
344.3975,-2.7641,-3.2655,3.8027,0.5372
346.3874,-2.7904,-3.2889,3.7872,0.4982
348.3888,-2.8166,-3.3122,3.7716,0.4594
350.4018,-2.8426,-3.3354,3.7561,0.4207
352.4263,-2.8685,-3.3584,3.7404,0.3820
354.4626,-2.8943,-3.3813,3.7248,0.3435
356.5107,-2.9199,-3.4040,3.7090,0.3051
358.5705,-2.9453,-3.4265,3.6933,0.2667
360.6423,-2.9707,-3.4490,3.6775,0.2285
362.7261,-2.9958,-3.4713,3.6617,0.1904
364.8219,-3.0209,-3.4934,3.6458,0.1524
366.9298,-3.0458,-3.5154,3.6299,0.1145
369.0499,-3.0705,-3.5373,3.6140,0.0767
371.1822,-3.0951,-3.5590,3.5980,0.0390
373.3268,-3.1196,-3.5806,3.5820,0.0014
375.4839,-3.1439,-3.6020,3.5659,-0.0361
377.6534,-3.1680,-3.6233,3.5499,-0.0735
379.8354,-3.1921,-3.6445,3.5337,-0.1107
382.0301,-3.2159,-3.6655,3.5176,-0.1479
384.2374,-3.2397,-3.6864,3.5014,-0.1849
386.4575,-3.2633,-3.7071,3.4852,-0.2219
388.6904,-3.2867,-3.7277,3.4690,-0.2587
390.9362,-3.3100,-3.7482,3.4528,-0.2954
393.1950,-3.3332,-3.7685,3.4365,-0.3320
395.4668,-3.3562,-3.7887,3.4202,-0.3685
397.7518,-3.3791,-3.8087,3.4039,-0.4048
400.0500,-3.4018,-3.8286,3.3875,-0.4411
402.3614,-3.4244,-3.8484,3.3712,-0.4772
404.6862,-3.4468,-3.8680,3.3548,-0.5132
407.0244,-3.4691,-3.8875,3.3383,-0.5491
409.3762,-3.4913,-3.9068,3.3219,-0.5849
411.7415,-3.5133,-3.9261,3.3055,-0.6206
414.1205,-3.5352,-3.9451,3.2890,-0.6561
416.5133,-3.5569,-3.9641,3.2725,-0.6916
418.9198,-3.5785,-3.9829,3.2560,-0.7269
421.3403,-3.6000,-4.0016,3.2395,-0.7621
423.7748,-3.6213,-4.0201,3.2229,-0.7972
426.2233,-3.6425,-4.0385,3.2064,-0.8321
428.6860,-3.6635,-4.0568,3.1898,-0.8669
431.1629,-3.6844,-4.0749,3.1733,-0.9016
433.6541,-3.7051,-4.0929,3.1567,-0.9362
436.1597,-3.7257,-4.1108,3.1401,-0.9707
438.6798,-3.7462,-4.1285,3.1235,-1.0050
441.2144,-3.7665,-4.1461,3.1069,-1.0392
443.7637,-3.7867,-4.1636,3.0903,-1.0733
446.3277,-3.8068,-4.1809,3.0737,-1.1073
448.9065,-3.8267,-4.1982,3.0571,-1.1411
451.5003,-3.8465,-4.2152,3.0404,-1.1748
