freq_Hz,woofer_dB,mid_dB,tweeter_raw_dB,tweeter_trimmed_dB,system_sum_raw_dB,system_sum_matched_dB
155.678,78.1734,84.2988,-24.1892,-31.1892,87.7859,87.7859
156.295,78.1005,84.3621,-23.9530,-30.9530,87.8043,87.8043
156.914,78.0271,84.4248,-23.7169,-30.7169,87.8227,87.8227
157.535,77.9531,84.4870,-23.4808,-30.4808,87.8411,87.8411
158.159,77.8786,84.5486,-23.2447,-30.2447,87.8593,87.8593
158.785,77.8036,84.6097,-23.0085,-30.0085,87.8775,87.8775
159.413,77.7280,84.6702,-22.7724,-29.7724,87.8956,87.8956
160.045,77.6518,84.7303,-22.5363,-29.5363,87.9136,87.9136
160.678,77.5751,84.7898,-22.3002,-29.3002,87.9315,87.9315
161.314,77.4979,84.8487,-22.0641,-29.0641,87.9494,87.9494
161.953,77.4201,84.9071,-21.8280,-28.8280,87.9672,87.9671
162.594,77.3418,84.9650,-21.5919,-28.5919,87.9848,87.9848
163.238,77.2630,85.0224,-21.3559,-28.3559,88.0024,88.0024
163.884,77.1836,85.0792,-21.1198,-28.1198,88.0199,88.0199
164.533,77.1037,85.1355,-20.8837,-27.8837,88.0373,88.0373
165.184,77.0232,85.1913,-20.6477,-27.6477,88.0546,88.0546
165.838,76.9422,85.2466,-20.4116,-27.4116,88.0719,88.0718
166.495,76.8607,85.3013,-20.1756,-27.1756,88.0890,88.0890
167.154,76.7787,85.3556,-19.9396,-26.9396,88.1060,88.1060
167.816,76.6961,85.4093,-19.7035,-26.7035,88.1229,88.1229
168.480,76.6130,85.4624,-19.4675,-26.4675,88.1398,88.1397
169.147,76.5294,85.5151,-19.2315,-26.2315,88.1565,88.1565
169.817,76.4453,85.5673,-18.9955,-25.9955,88.1731,88.1731
170.489,76.3607,85.6189,-18.7595,-25.7595,88.1896,88.1896
171.164,76.2755,85.6700,-18.5235,-25.5235,88.2061,88.2060
171.842,76.1898,85.7207,-18.2875,-25.2875,88.2224,88.2224
172.522,76.1036,85.7708,-18.0515,-25.0515,88.2386,88.2386
173.205,76.0169,85.8204,-17.8155,-24.8155,88.2547,88.2547
173.891,75.9297,85.8695,-17.5796,-24.5796,88.2707,88.2707
174.580,75.8420,85.9182,-17.3436,-24.3436,88.2866,88.2866
175.271,75.7538,85.9663,-17.1077,-24.1077,88.3024,88.3023
175.965,75.6650,86.0139,-16.8717,-23.8717,88.3180,88.3180
176.661,75.5758,86.0611,-16.6358,-23.6358,88.3336,88.3336
177.361,75.4861,86.1077,-16.3999,-23.3999,88.3491,88.3490
178.063,75.3959,86.1539,-16.1639,-23.1639,88.3644,88.3644
178.768,75.3052,86.1996,-15.9280,-22.9280,88.3796,88.3796
179.476,75.2140,86.2448,-15.6921,-22.6921,88.3947,88.3947
180.186,75.1224,86.2895,-15.4562,-22.4562,88.4097,88.4097
180.900,75.0302,86.3337,-15.2204,-22.2204,88.4246,88.4246
181.616,74.9376,86.3775,-14.9845,-21.9845,88.4394,88.4394
182.335,74.8445,86.4208,-14.7486,-21.7486,88.4540,88.4540
183.057,74.7509,86.4636,-14.5128,-21.5128,88.4686,88.4685
183.782,74.6568,86.5060,-14.2769,-21.2769,88.4830,88.4830
184.509,74.5623,86.5479,-14.0411,-21.0411,88.4973,88.4973
185.240,74.4673,86.5893,-13.8053,-20.8053,88.5115,88.5115
185.973,74.3718,86.6303,-13.5694,-20.5694,88.5256,88.5255
186.709,74.2759,86.6708,-13.3336,-20.3336,88.5395,88.5395
187.449,74.1796,86.7109,-13.0978,-20.0978,88.5534,88.5533
188.191,74.0827,86.7506,-12.8620,-19.8620,88.5671,88.5670
188.936,73.9855,86.7897,-12.6262,-19.6262,88.5807,88.5806
189.684,73.8877,86.8285,-12.3905,-19.3905,88.5941,88.5941
190.435,73.7896,86.8668,-12.1547,-19.1547,88.6075,88.6075
191.189,73.6910,86.9046,-11.9190,-18.9190,88.6207,88.6207
191.946,73.5919,86.9421,-11.6832,-18.6832,88.6339,88.6338
192.706,73.4924,86.9791,-11.4475,-18.4475,88.6469,88.6468
